date,rice,wheat,onion,tomato,potato,sugar,milk,egg,chicken,oil,chili
2017-08-10,40.55,39.04,20.01,17.49,22.43,30.02,53.7,5.76,133.28,130.72,80.12
2017-08-11,38.95,38.26,20.61,17.47,24.09,32.3,51.46,5.78,129.34,134.7,79.45
2017-08-12,37.28,36.33,21.3,18.15,23.77,32.22,47.76,5.71,125.58,124.91,74.78
2017-09-08,41.93,36.9,18.44,16.82,20.48,29.96,51.8,5.92,125.57,126.49,84.74
2017-09-09,40.49,37.82,18.89,16.66,21.19,29.62,51.98,5.72,129.09,129.59,82.12
2017-09-10,39.09,38.48,20.04,17.05,22.32,30.23,53.07,5.66,135.85,135.04,81.99
2017-09-11,39.05,38.35,21.21,18.15,24.18,31.29,50.46,5.63,132.17,131.7,78.71
2017-09-12,37.28,36.28,21.32,18.17,23.78,32.27,47.68,5.72,125.43,124.74,74.76
2017-10-08,41.9,36.93,18.45,16.8,20.49,29.94,51.82,5.91,125.73,126.63,84.67
2017-10-09,40.45,37.84,18.91,16.66,21.21,29.63,51.96,5.71,129.24,129.65,82.01
2017-10-10,40.41,38.85,20.06,17.48,23.04,30.16,51.3,5.66,135.23,135.17,82.47
2017-10-11,39.27,37.39,21.42,17.99,23.99,32.22,50.37,5.84,134.62,130.58,78.9
2017-10-12,37.28,36.23,21.34,18.21,23.8,32.31,47.63,5.72,125.28,124.61,74.73
2017-11-08,41.87,36.98,18.46,16.79,20.52,29.93,51.83,5.91,125.88,126.78,84.62
2017-11-09,40.39,37.86,18.93,16.66,21.24,29.63,51.95,5.71,129.29,129.76,81.91
2017-11-10,39.31,38.58,20.33,17.08,23.11,30.45,51.49,5.82,135.94,135.81,79.71
2017-11-11,38.24,38.49,21.32,17.63,24.18,31.47,49.62,5.78,134.1,132.45,79.96
2017-11-12,37.28,36.18,21.36,18.23,23.81,32.36,47.56,5.73,125.1,124.48,74.71
2017-12-08,41.81,37.01,18.46,16.78,20.54,29.92,51.87,5.9,126.02,126.9,84.59
2017-12-09,40.33,37.87,18.95,16.66,21.27,29.64,51.93,5.7,129.36,129.82,81.81
2017-12-10,40.74,39.02,20.19,17.75,22.49,30.84,53.11,5.73,136.39,133.49,79.41
2017-12-11,39.24,37.42,21.15,17.52,23.43,31.44,51.32,5.61,130.34,134.07,78.35
2017-12-12,37.27,36.14,21.38,18.26,23.83,32.4,47.5,5.74,124.96,124.32,74.67
2018-01-01,37.5,35.19,21.78,18.78,24.07,33.34,46.48,5.88,121.83,121.35,74.72
2018-01-02,38.53,33.88,22.0,19.47,24.08,34.6,45.4,6.15,117.25,117.2,76.33
2018-01-03,40.08,33.13,21.84,19.82,23.68,35.27,45.28,6.4,114.18,114.47,78.87
2018-01-04,42.75,33.01,21.55,20.16,23.13,35.71,46.31,6.78,116.19,115.51,82.46
2018-01-05,44.5,34.08,20.97,19.81,22.08,35.52,48.35,6.77,115.65,117.87,87.6
2018-01-06,44.6,34.6,19.76,18.81,21.31,33.69,50.01,6.63,118.18,120.0,88.27
2018-01-07,44.81,36.17,19.26,18.1,20.93,32.46,52.02,6.47,123.31,125.3,89.19
2018-01-08,44.15,37.75,19.13,17.51,21.09,31.39,53.51,6.25,128.99,130.77,88.25
2018-01-09,42.73,38.93,19.45,17.21,21.67,30.82,53.94,6.01,133.23,134.61,85.97
2018-01-10,43.08,41.06,20.33,17.96,23.64,31.16,55.06,6.0,140.12,138.09,86.62
2018-01-11,40.87,39.03,21.39,18.19,24.45,31.94,52.46,6.04,135.62,140.78,81.13
2018-01-12,39.02,37.97,21.94,18.57,24.49,33.15,49.85,5.89,130.7,131.03,77.64
2018-02-01,37.52,35.15,21.79,18.81,24.08,33.38,46.42,5.89,121.69,121.18,74.77
2018-02-02,38.58,33.85,22.0,19.49,24.07,34.63,45.38,6.16,117.13,117.12,76.4
2018-02-03,40.14,33.11,21.83,19.82,23.67,35.28,45.29,6.41,114.13,114.39,78.99
2018-02-04,42.52,32.95,21.82,20.28,23.22,35.53,46.9,6.76,113.58,116.73,83.13
2018-02-05,44.25,34.45,20.86,19.91,22.11,34.88,48.43,6.72,117.02,118.13,86.43
2018-02-06,44.62,34.64,19.74,18.78,21.3,33.65,50.09,6.63,118.34,120.16,88.32
2018-02-07,44.79,36.22,19.25,18.08,20.92,32.42,52.05,6.46,123.52,125.5,89.16
2018-02-08,44.11,37.81,19.13,17.5,21.1,31.36,53.53,6.24,129.15,130.95,88.2
2018-02-09,42.68,38.95,19.47,17.21,21.69,30.82,53.94,6.0,133.37,134.66,85.89
2018-02-10,41.22,40.18,20.47,17.98,22.93,32.4,55.69,6.06,138.38,139.22,84.61
2018-02-11,39.91,39.06,32.35,18.33,24.49,33.5,52.2,5.93,137.75,137.62,81.22
2018-02-12,39.01,37.92,21.96,18.6,24.51,33.19,49.78,5.89,130.57,130.89,77.6
2018-03-01,37.55,35.1,21.79,18.83,24.09,33.42,46.36,5.9,121.55,121.08,74.8
2018-03-02,38.63,33.81,22.0,19.5,24.06,34.66,45.37,6.17,117.03,116.97,76.45
2018-03-03,40.2,33.1,21.81,19.83,23.64,35.3,45.31,6.41,114.04,114.31,79.12
2018-03-04,42.85,33.16,21.74,20.04,23.08,35.52,47.14,6.8,115.67,114.5,83.68
2018-03-05,44.21,34.41,20.91,19.61,22.06,35.29,49.36,6.74,116.57,117.54,87.28
2018-03-06,44.64,34.69,19.72,18.76,21.28,33.6,50.16,6.62,118.49,120.32,88.37
2018-03-07,44.78,36.28,19.23,18.07,20.92,32.38,52.11,6.46,149.61,125.65,89.16
2018-03-08,44.06,37.84,19.14,17.48,21.11,31.33,53.58,6.23,129.32,131.11,88.18
2018-03-09,42.64,38.96,19.49,17.21,21.72,30.81,53.93,6.0,133.46,134.74,85.78
2018-03-10,42.49,40.2,20.42,17.47,22.91,31.55,55.89,6.01,138.06,139.88,85.96
2018-03-11,40.61,40.05,22.0,18.05,24.5,33.13,52.39,5.82,139.24,141.07,82.48
2018-03-12,39.01,37.88,21.99,18.62,24.53,33.24,49.71,5.89,130.42,130.73,77.53
2018-04-01,37.57,35.06,21.81,18.86,24.1,33.46,46.31,5.91,121.41,120.93,74.84
2018-04-02,38.68,33.77,22.0,19.52,24.06,34.69,45.35,6.18,116.92,116.86,76.52
2018-04-03,40.26,33.07,21.8,19.83,23.61,35.32,45.32,6.42,113.96,114.24,79.2
2018-04-04,43.1,33.05,21.53,20.13,22.81,35.67,46.32,6.75,114.51,117.04,84.19
2018-04-05,44.63,33.95,21.03,19.5,22.25,35.31,48.43,6.88,116.5,119.56,86.69
2018-04-06,44.66,34.73,19.7,18.73,21.26,33.57,50.23,6.62,118.59,120.47,88.42
2018-04-07,44.77,36.33,19.22,18.04,20.92,32.34,52.18,6.45,123.96,125.84,89.14
2018-04-08,44.03,37.88,19.14,17.46,21.12,31.3,53.6,6.22,129.45,131.28,88.1
2018-04-09,42.6,38.99,19.5,17.2,21.75,30.8,53.92,5.99,133.57,134.86,85.69
2018-04-10,43.04,39.46,20.77,17.86,23.28,31.49,55.1,6.07,136.04,139.61,83.59
2018-04-11,40.65,40.51,21.65,18.49,24.19,33.31,51.84,5.88,138.91,135.34,82.51
2018-04-12,39.0,37.82,22.02,18.66,24.55,33.28,49.63,5.9,130.3,130.61,77.53
2018-05-01,37.58,35.03,21.83,18.89,24.11,33.5,46.27,5.91,121.26,120.79,74.86
2018-05-02,38.73,33.73,22.0,19.53,24.05,34.71,45.33,6.19,116.78,116.72,76.6
2018-05-03,40.31,33.07,21.79,19.83,23.59,35.32,45.35,6.43,113.88,114.16,79.31
2018-05-04,42.3,33.18,21.67,20.11,23.16,36.36,46.39,6.66,114.48,116.61,84.59
2018-05-05,44.73,33.58,20.59,19.49,22.26,34.97,49.25,6.74,116.74,116.73,86.31
2018-05-06,44.67,34.78,19.67,18.71,21.25,33.52,50.31,6.61,118.77,120.64,88.46
2018-05-07,44.75,36.38,19.21,18.02,20.91,32.3,52.21,6.44,124.16,126.02,89.12
2018-05-08,43.98,37.91,19.14,17.45,21.13,31.29,53.65,6.21,129.65,131.39,88.01
2018-05-09,42.54,39.01,19.52,17.2,21.78,30.8,53.9,5.99,133.62,134.93,85.59
2018-05-10,42.16,40.62,20.34,18.14,23.77,32.37,55.63,5.96,140.65,136.48,85.3
2018-05-11,39.98,39.52,21.78,18.76,24.22,32.35,52.45,5.87,134.81,138.97,79.62
2018-05-12,38.98,37.78,22.04,18.68,24.58,33.33,49.57,5.9,130.15,130.47,77.49
2018-06-01,37.62,34.98,21.84,18.91,24.11,33.54,46.22,5.92,121.14,120.63,74.92
2018-06-02,38.78,33.7,22.0,19.55,24.04,34.74,45.3,6.2,116.61,116.57,76.68
2018-06-03,40.36,33.04,21.77,19.84,23.57,35.33,45.35,6.44,113.78,114.13,79.44
2018-06-04,42.74,33.31,21.49,19.85,22.83,35.4,47.57,6.69,115.52,116.72,83.48
2018-06-05,43.97,33.94,20.74,19.78,22.52,35.67,48.22,6.72,117.29,117.76,87.59
2018-06-06,44.69,34.84,19.65,18.68,21.22,33.48,50.39,6.61,118.94,120.84,88.52
2018-06-07,44.74,36.44,19.21,18.0,20.91,32.26,52.27,6.44,124.34,126.2,89.1
2018-06-08,43.93,37.96,19.14,17.43,21.14,31.28,53.69,6.2,129.81,131.54,87.96
2018-06-09,42.49,39.03,19.54,17.2,21.81,30.8,53.89,5.98,133.68,135.04,85.48
2018-06-10,42.88,40.91,21.21,17.47,23.13,32.0,55.4,5.98,135.23,138.65,84.01
2018-06-11,41.48,39.54,22.12,18.34,24.09,32.22,52.39,6.06,133.86,138.51,82.01
2018-06-12,38.99,37.73,22.06,18.71,24.59,33.38,49.5,5.91,130.0,130.3,77.46
2018-07-01,37.65,34.94,21.85,18.93,24.12,33.59,46.19,5.93,120.96,120.49,74.95
2018-07-02,38.82,33.65,22.0,19.57,24.04,34.76,45.28,6.21,116.47,116.47,76.77
2018-07-03,40.42,33.03,21.76,19.84,23.54,35.34,45.36,6.44,113.73,114.07,79.57
2018-07-04,43.35,33.87,21.24,19.98,22.76,35.57,47.05,6.73,113.54,115.36,85.18
2018-07-05,44.62,34.44,20.8,19.69,21.92,34.96,48.98,6.79,117.94,118.06,87.55
2018-07-06,44.71,34.89,19.63,18.67,21.2,33.44,50.45,6.6,119.13,121.01,88.54
2018-07-07,44.73,36.5,19.19,17.98,20.9,32.21,52.33,6.43,124.55,126.43,89.08
2018-07-08,43.89,38.0,19.15,17.42,21.15,31.25,53.71,6.19,129.99,131.67,87.89
2018-07-09,42.44,39.06,19.57,17.2,21.83,30.81,53.89,5.98,133.79,135.1,85.41
2018-07-10,41.03,39.76,20.63,17.79,23.55,31.35,53.86,6.03,136.73,142.0,82.35
2018-07-11,41.24,40.0,21.77,18.43,24.01,32.91,53.46,5.99,139.15,139.88,81.03
2018-07-12,38.97,37.68,22.08,18.73,24.62,33.43,49.42,5.91,129.86,130.17,77.46
2018-08-01,37.68,34.88,21.85,18.96,24.13,33.63,46.14,5.94,120.81,120.38,74.98
2018-08-02,38.86,33.62,22.0,19.58,24.03,34.79,45.25,6.22,116.37,116.35,76.85
2018-08-03,40.47,33.0,21.74,19.85,23.52,35.35,45.37,6.45,113.65,114.06,79.69
2018-08-04,42.83,33.55,21.19,19.79,23.2,35.37,47.13,6.75,114.65,115.76,85.32
2018-08-05,44.04,34.34,20.77,19.43,22.24,34.78,49.05,6.82,116.41,118.9,87.63
2018-08-06,44.73,34.95,19.61,18.64,21.19,33.41,50.53,6.6,119.23,121.18,88.6
2018-08-07,44.71,36.56,19.19,17.96,20.9,32.18,52.38,6.42,124.76,126.61,89.09
2018-08-08,43.85,38.06,19.16,17.4,21.17,31.22,53.72,6.18,130.12,131.78,87.82
2018-08-09,42.4,39.08,19.59,17.2,21.87,30.8,53.87,5.97,133.86,135.15,85.34
2018-08-10,41.72,40.11,20.54,18.04,23.64,31.77,55.51,5.89,138.44,141.64,83.81
2018-08-11,40.86,39.34,21.5,18.19,24.68,33.36,53.36,5.97,133.88,134.6,79.6
2018-08-12,38.95,37.64,22.1,18.75,24.64,33.48,49.35,5.92,129.75,130.02,77.43
2018-09-01,37.7,34.84,21.86,18.98,24.14,33.67,46.1,5.95,120.64,120.22,75.02
2018-09-02,38.92,33.59,21.99,19.61,24.02,34.82,45.25,6.23,116.23,116.27,76.92
2018-09-03,40.53,32.99,21.73,19.86,23.5,35.36,45.4,6.46,113.6,113.99,79.81
2018-09-04,43.14,33.78,21.21,19.84,22.65,35.56,47.84,6.82,113.21,116.18,84.92
2018-09-05,44.89,34.13,20.48,19.38,22.16,34.65,49.25,6.83,117.88,118.23,87.16
2018-09-06,44.74,35.0,19.59,18.62,21.18,33.37,50.59,6.6,119.45,121.35,88.65
2018-09-07,44.69,36.63,19.18,17.93,20.9,32.14,52.45,6.42,124.92,126.81,89.07
2018-09-08,43.82,38.11,19.17,17.38,21.19,31.2,53.74,6.17,130.25,131.93,87.77
2018-09-09,42.35,39.09,19.61,17.21,21.9,30.8,53.86,5.96,133.9,135.2,85.23
2018-09-10,41.34,40.93,20.85,17.93,23.76,32.57,53.18,5.93,141.46,139.7,84.26
2018-09-11,40.41,38.84,22.2,18.8,24.0,33.19,53.28,5.96,135.87,135.74,80.03
2018-09-12,38.95,37.6,22.12,18.78,24.67,33.52,49.26,5.92,129.6,129.87,77.38
2018-10-01,37.72,34.79,21.86,19.01,24.14,33.72,46.06,5.96,120.49,120.06,75.07
2018-10-02,38.97,33.56,21.99,19.62,24.0,34.85,45.24,6.24,116.09,116.15,77.01
2018-10-03,40.59,32.97,21.71,19.86,23.48,35.37,45.42,6.47,113.5,113.91,79.91
2018-10-04,43.21,33.67,21.29,20.24,23.27,35.35,47.03,6.72,115.41,116.88,85.78
2018-10-05,44.81,33.75,20.66,19.35,22.13,34.89,49.6,6.83,116.92,117.23,89.21
2018-10-06,44.74,35.05,19.58,18.59,21.17,33.33,50.67,6.59,119.6,121.55,88.7
2018-10-07,44.67,36.68,19.17,17.91,20.91,32.11,52.51,6.41,125.1,126.99,89.03
2018-10-08,43.79,38.15,19.18,17.37,21.2,31.17,53.77,6.17,130.42,132.1,87.72
2018-10-09,42.31,39.12,19.63,17.21,21.92,30.8,53.84,5.96,134.0,135.23,85.12
2018-10-10,42.25,41.01,20.65,17.49,23.54,32.56,53.81,6.0,140.2,139.57,82.53
2018-10-11,40.28,40.18,21.91,18.89,25.03,33.22,52.62,6.0,133.74,134.68,79.08
2018-10-12,38.95,37.56,22.15,18.8,24.69,33.56,49.2,5.93,129.46,129.68,77.35
2018-11-01,37.74,34.75,21.88,19.04,24.15,33.76,46.02,5.97,120.32,119.9,75.11
2018-11-02,39.02,33.53,21.99,19.64,24.0,34.88,45.23,6.25,115.97,116.04,77.1
2018-11-03,40.63,32.97,21.7,19.87,23.46,35.39,45.44,6.47,113.4,113.87,80.02
2018-11-04,42.77,33.09,21.63,20.24,22.93,35.78,47.9,6.78,113.42,117.17,85.6
2018-11-05,45.25,34.15,20.76,19.63,22.34,35.19,49.61,6.69,117.82,120.31,86.85
2018-11-06,44.77,35.11,19.56,18.56,21.15,33.28,50.74,6.59,119.79,121.71,88.76
2018-11-07,44.66,36.72,19.16,17.88,20.9,32.07,52.59,6.4,125.28,127.17,89.03
2018-11-08,43.76,38.19,19.19,17.37,21.22,31.15,53.78,6.16,130.56,132.22,87.67
2018-11-09,42.26,39.12,19.65,17.21,21.96,30.81,53.82,5.95,134.07,135.27,85.01
2018-11-10,42.7,39.76,20.95,17.76,23.4,31.3,54.57,5.82,137.36,136.43,82.54
2018-11-11,40.73,39.95,21.53,18.75,24.93,33.46,51.92,6.03,136.77,139.89,80.22
2018-11-12,38.95,37.51,22.18,18.83,24.7,33.6,49.15,5.94,129.32,129.53,89.46
2018-12-01,37.77,34.72,21.89,19.06,24.15,33.79,45.97,5.98,120.13,119.79,75.11
2018-12-02,39.09,33.49,21.99,19.65,23.98,34.91,45.22,6.26,115.84,115.94,77.19
2018-12-03,40.7,32.96,21.68,19.87,23.43,35.4,45.44,6.48,113.39,113.88,80.14
2018-12-04,43.05,33.72,21.52,20.2,23.22,35.7,48.05,6.84,113.56,114.56,84.26
2018-12-05,44.11,34.24,20.54,19.24,21.88,34.68,49.66,8.4,118.46,118.55,89.25
2018-12-06,44.79,35.15,19.54,18.54,21.12,33.24,50.79,6.58,119.91,121.92,88.81
2018-12-07,44.65,36.79,19.15,17.86,20.91,32.03,52.64,6.39,125.44,127.35,89.02
2018-12-08,43.72,38.23,19.19,17.35,21.24,31.13,53.78,6.15,130.68,132.35,87.58
2018-12-09,42.21,39.14,19.67,17.21,21.99,30.81,53.79,5.94,134.13,135.31,84.91
2018-12-10,41.18,40.36,20.78,17.88,24.07,31.63,54.21,5.94,139.68,136.98,83.57
2018-12-11,40.48,39.84,21.94,18.57,25.01,32.66,52.08,5.97,135.35,136.41,79.74
2018-12-12,38.95,37.48,22.2,18.86,24.72,33.64,49.09,5.94,129.17,129.38,77.32
2019-01-01,39.13,36.54,22.56,19.39,24.98,34.64,47.86,6.09,126.12,126.38,77.3
2019-01-02,40.12,35.22,22.78,20.09,24.91,35.94,46.75,6.37,121.22,121.56,78.84
2019-01-03,41.61,34.43,22.64,20.47,24.48,36.66,46.62,6.62,117.79,118.64,81.53
2019-01-04,44.85,34.2,22.21,20.55,23.97,37.07,48.35,7.03,117.69,120.87,86.98
2019-01-05,45.59,35.68,21.45,20.41,22.97,37.03,49.4,7.12,121.07,120.84,89.36
2019-01-06,46.21,35.89,20.46,19.46,22.01,35.02,51.34,6.87,122.04,124.87,91.13
2019-01-07,46.31,37.51,19.92,18.73,21.65,33.71,53.46,6.7,127.2,130.35,92.07
2019-01-08,45.57,39.14,19.76,18.08,21.81,32.63,54.95,6.45,133.0,135.64,91.04
2019-01-09,44.11,40.31,20.12,17.81,22.45,32.01,55.39,6.2,137.22,139.73,88.48
2019-01-10,44.34,42.6,21.84,18.48,24.19,33.0,55.22,6.31,146.26,144.35,89.09
2019-01-11,42.38,41.94,45.93,18.56,25.46,33.64,54.91,6.06,139.24,144.4,82.35
2019-01-12,40.18,39.31,38.84,19.21,25.32,34.35,51.2,6.08,135.37,135.99,80.0
2019-02-01,39.14,36.5,22.58,19.41,24.99,34.68,47.8,6.1,125.95,126.22,77.35
2019-02-02,40.17,35.18,22.79,15.69,24.91,35.97,46.73,6.38,121.11,121.43,78.91
2019-02-03,41.68,34.4,22.63,20.48,24.46,36.66,46.65,6.63,117.65,118.57,81.62
2019-02-04,44.64,34.92,22.55,20.99,23.72,37.53,48.93,6.98,119.64,119.2,86.32
2019-02-05,46.59,35.0,21.6,20.36,22.8,36.37,49.52,6.95,118.14,123.01,91.01
2019-02-06,46.23,35.93,20.44,19.44,22.0,34.97,51.42,6.86,122.17,125.05,91.19
2019-02-07,46.28,37.58,19.91,18.71,21.65,33.67,53.51,6.69,127.31,130.57,92.07
2019-02-08,45.53,39.19,19.77,18.07,21.82,32.6,54.98,6.44,133.11,135.8,90.98
2019-02-09,44.06,40.33,20.14,17.81,22.47,32.0,55.39,6.19,137.32,139.82,88.37
2019-02-10,44.19,42.4,21.76,18.3,23.55,33.63,56.78,6.13,145.33,142.42,87.43
2019-02-11,41.07,42.27,37.67,19.14,28.31,34.5,54.7,6.15,139.81,140.13,82.92
2019-02-12,40.16,39.27,48.78,19.25,25.34,34.4,51.14,6.09,135.22,135.8,79.96
2019-03-01,39.16,36.46,22.59,19.43,24.99,34.73,47.77,6.11,125.8,126.04,77.37
2019-03-02,40.21,35.13,22.8,20.13,24.9,36.0,46.7,6.39,121.0,121.31,79.01
2019-03-03,41.74,34.38,22.61,20.49,24.44,36.69,46.67,6.64,117.55,118.48,81.71
2019-03-04,43.72,35.03,22.43,20.7,24.08,37.35,48.29,7.01,117.22,118.65,85.64
2019-03-05,45.5,35.04,21.76,20.34,22.89,36.88,50.56,7.0,121.49,121.4,89.58
2019-03-06,46.25,35.98,20.42,19.41,21.98,34.93,51.5,6.86,122.33,125.2,91.27
2019-03-07,46.27,37.63,19.89,18.69,21.64,33.64,53.58,6.69,127.48,130.79,92.06
2019-03-08,45.5,39.24,19.78,18.05,21.83,32.56,55.01,6.43,133.25,135.99,90.92
2019-03-09,44.01,40.35,20.15,17.8,22.51,31.99,55.37,6.18,137.4,139.9,88.26
2019-03-10,43.55,41.45,21.39,17.96,24.59,33.66,55.59,6.15,141.29,145.58,86.94
2019-03-11,41.25,42.25,39.65,19.02,24.52,33.26,54.6,6.18,141.98,142.46,85.71
2019-03-12,40.12,39.22,37.98,19.28,25.36,34.45,51.08,6.09,135.05,135.68,79.92
2019-04-01,39.17,36.4,22.61,19.46,25.0,34.78,47.73,6.12,125.62,125.86,77.39
2019-04-02,40.26,35.09,22.8,20.15,24.89,36.03,46.69,6.4,120.81,121.18,79.09
2019-04-03,41.8,34.36,22.61,20.5,24.43,36.71,46.69,6.65,117.48,118.42,81.84
2019-04-04,43.84,34.45,22.34,20.9,23.71,37.12,48.39,6.97,116.88,121.27,87.99
2019-04-05,45.61,35.14,21.45,20.6,23.26,36.16,49.62,7.06,121.76,123.94,90.22
2019-04-06,46.26,51.75,20.4,19.39,21.96,34.9,51.56,6.86,122.46,125.4,91.34
2019-04-07,46.26,37.7,19.89,18.66,21.64,33.6,70.53,6.68,127.67,130.97,92.03
2019-04-08,45.45,39.28,19.78,18.04,21.85,32.53,55.04,6.43,133.39,136.21,90.86
2019-04-09,43.96,40.38,20.17,17.8,22.54,31.98,55.37,6.18,137.45,139.97,88.15
2019-04-10,43.86,42.07,21.74,18.07,24.37,32.26,56.89,6.32,142.01,145.11,88.62
2019-04-11,42.6,40.67,40.98,19.01,25.49,34.57,55.23,6.04,143.26,140.0,84.15
2019-04-12,40.1,39.19,44.3,19.3,25.38,34.5,51.03,6.1,134.89,135.52,79.87
2019-05-01,39.19,36.35,22.61,19.48,25.01,34.82,47.67,6.12,125.47,125.71,77.42
2019-05-02,40.32,35.06,22.8,20.17,24.88,36.08,46.68,6.41,120.64,121.03,79.17
2019-05-03,41.86,34.34,22.59,20.51,24.4,36.72,46.7,6.65,117.4,118.36,81.95
2019-05-04,44.42,34.82,22.22,20.78,23.75,37.39,48.23,7.03,119.9,120.47,87.62
2019-05-05,45.63,35.4,21.62,20.29,22.84,36.39,50.68,6.99,119.54,124.28,89.01
2019-05-06,46.28,36.1,20.37,19.37,21.94,34.87,51.65,6.85,122.63,125.6,91.38
2019-05-07,46.25,37.75,19.87,18.63,21.64,33.56,53.7,6.67,127.86,131.11,92.01
2019-05-08,45.42,39.33,19.79,18.03,21.87,32.51,55.08,6.41,133.54,136.33,90.82
2019-05-09,43.92,40.4,20.19,17.8,22.58,31.97,55.35,6.17,137.57,140.01,88.06
2019-05-10,42.97,41.82,21.76,18.26,24.28,33.16,56.53,6.09,145.87,142.82,86.48
2019-05-11,41.28,42.06,49.96,18.96,25.51,33.78,53.46,6.01,144.24,143.42,83.54
2019-05-12,40.1,39.13,38.49,19.33,25.4,34.55,50.96,6.1,134.76,135.36,79.84
2019-06-01,39.2,36.31,22.63,19.51,25.01,34.86,47.63,6.13,125.33,125.55,77.44
2019-06-02,40.35,35.02,22.8,20.19,24.87,36.11,46.67,6.42,120.5,120.93,79.26
2019-06-03,41.91,34.32,22.57,20.51,24.38,36.75,46.71,6.66,117.34,118.32,82.05
2019-06-04,45.06,34.5,22.13,20.96,23.88,36.89,47.9,6.91,117.66,121.0,87.6
2019-06-05,46.64,35.11,21.69,20.23,23.09,36.13,50.11,6.98,121.21,122.54,91.64
2019-06-06,46.29,36.16,20.35,19.34,21.92,34.81,51.74,6.85,122.76,125.78,91.45
2019-06-07,46.23,37.81,19.86,18.61,21.63,33.52,53.75,6.67,128.04,131.28,92.01
2019-06-08,45.36,39.38,19.79,18.02,21.89,32.48,55.11,6.41,133.69,136.49,90.73
